,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
10,沈思黙考,"['n,vs']",ちんしもっこう,沈,1305,7,[],[],"['氵', '尢']",['沈'],[7],['形声 Phonetic'],[2],[14895],[14890],['R'],思,805,9,[],[],"['心', '田']",['思'],[2],['形声 Phonetic'],[4],[320430],[320338],['R'],黙,2734,15,[' silence/stillness/quietness]'],['せいじゃく'],"['犬', '里', '灬', '黒']",['黙'],[7],['形声 Phonetic'],[1],[10043],[9902],['R'],考,1913,6,"["" thought report on one's investigation into ... deceased father]""]",['こう'],"['⺹', '勹']",['考'],[2],['形声 Phonetic'],[4],[207299],[207066],['S'],沈思,[' contemplation/meditation]'],['ちんし'],沈思,[' contemplation/meditation]'],['ちんし']
11,刻苦勉励,"['n,vs']",こっくべんれい,刻,237,8,"[' scratch,', ' period of time (usu. a period of approx. two hours corresponding to one of the signs of the Chinese zodiac) carving/engraving/cutting/mincing victory strictness/cruelty,', ' time/hour/moment occasion/case chance/opportunity/season the times/the age/the day tense]']","['きざ', 'こく', 'とき']","['刂', '亠']",['刻'],[6],['形声 Phonetic'],[3],[34101],[34075],['P'],苦,2015,8,[' pain/anguish/suffering/distress/anxiety/worry/trouble/difficulty/hardship duhkha (suffering)]'],['く'],"['口', '十', '⺾']",['苦'],[3],['形声 Phonetic'],[3],[64615],[64607],['R'],勉,266,10,[],[],"['力', '免', '儿']",['勉'],[3],['形声 Phonetic'],[4],[18963],[15128],['S'],励,260,7,[],[],"['斤', '力', '厂']",['励'],[7],['形声 Phonetic'],[1],[16174],[16101],['S'],刻苦,[' hard work]'],['こっく'],刻苦,[' hard work]'],['こっく']
12,清廉潔白,"['adj-na,adj-no,n']",せいれんけっぱく,清,1374,11,"["" Qing dynasty (China, 1644-1912)/Ch'ing dynasty/Manchu dynasty,"", ' clearly/brightly cleanly/purely]']","['しん', 'さや']","['月', '氵', '青', '土', '二', '亠']",['清'],[4],['形声 Phonetic'],[2],[70246],[11861],['R'],廉,731,13,"[' charge/grounds/suspicion,', ' cheap/inexpensive pure/honest/upright]']","['かど', 'れん']","['｜', 'ヨ', 'ハ', '广', '并']",['廉'],[7],['形声 Phonetic'],[1],[1369],[1124],['S'],潔,1424,15,[],[],"['糸', '幺', '小', '氵', '土', '刀', '亠']",['潔'],[5],['形声 Phonetic'],[1],[5027],[3591],['S'],白,1613,5,"[' white innocence/innocent person blank space white go stone white dragon tile skewered grilled pig intestine,', ' white unseasoned/undyed/unaltered very much/precisely playing dumb unfeigned/honest/diligent,', "" white striped mullet fry (Mugil cephalus) speech/one's lines white dragon tile winning hand with a pung (or kong) of white dragon tiles white person/Caucasian Belgium]""]","['しろ', 'しら', 'はく']",['白'],['白'],[1],['象形 Pictographic'],[5],[129369],[104138],['R'],清廉,[' honesty/integrity/purity and unselfishness]'],['せいれん'],清廉,[' honesty/integrity/purity and unselfishness]'],['せいれん']
13,面目躍如,"['adj-no,adj-t,adv-to']",めんもくやくじょ,面,2585,9,"[' face surface mask (esp. a noh or kyogen mask),', ' face/mug surface cheek meat cheek/cheeks surrounding area,', ' face mask/face guard (in kendo) striking the head surface (esp. a geometrical surface) page aspect/facet/side chamfer counter for broad, flat objects, levels or stages, e.g. in a video game,', ' looking like a .../acting as if a ...]']","['おもて', 'つら', 'めん', 'づら']",['面'],['面'],[3],['象形 Pictographic'],[3],[232121],[231082],['P'],目,1631,5,"[' eye/eyeball eyesight/sight/vision look/stare/gaze/glance notice/attention/observation/eyes (of the world, public, etc.) an experience viewpoint discrimination/discernment/judgement/eye (e.g. for quality) appearance chance to succeed/possibility 10. spacing (between crossed strands of a net, mesh, etc.)/opening/stitch/texture/weave 11. grain (of wood) 12. eye (of a storm, needle, etc.) 13. intersection (on a go board)/square (on a chess board) 14. dot (on a dice)/pip/rolled number 15. graduation/division (of a scale) 16. tooth (of a saw, comb, etc.) 17. ordinal number suffix 18. somewhat/-ish 19. point (e.g. of change),', ' order item (of a budget revision, etc.) counter for go pieces/counter for surrounded positions (in go)]']","['め', 'もく']",['目'],['目'],[1],['象形 Pictographic'],[4],[510537],[503519],['P'],躍,2343,21,[],[],"['ヨ', '口', '足', '隹']",['躍'],[7],['形声 Phonetic'],[1],[37975],[37975],['S'],如,536,6,"[' tathata (the ultimate nature of all things),', ' like/similar to/same as]']","['にょ', 'ごと']","['口', '女']",['如'],[7],['会意 Com. Ideographic'],[1],[5931],[4607],['S'],面目,[' face/honour/honor/reputation/prestige/dignity/credit appearance/look]'],['めんぼく'],面目,[' face/honour/honor/reputation/prestige/dignity/credit appearance/look]'],['めんぼく']
14,滅私奉公,['n'],めっしほうこう,滅,1407,13,[],[],"['ノ', '火', '氵', '戈']",['滅'],[7],['形声 Phonetic'],[1],[14489],[14489],['P'],私,1709,7,"[' I/me,', ' I/me,', ' I/me,', ' I/me,', ' I/me,', ' I/me you,', ' I/me,', ' private affairs/personal matter,', ' I/me personal (affairs, etc.)/private selfishness/partiality secrecy/confidentiality,', ' I/me]']","['わたし', 'あたし', 'わらわ', 'わし', 'あっし', 'わい', 'わたい', 'し', 'わたくし', 'わっち']","['禾', '厶']",['私'],[6],['会意 Com. Ideographic'],[4],[171763],[171647],['R'],奉,522,8,[],[],"['｜', '一', '人', '大', '二']",['奉'],[7],['会意 Com. Ideographic'],[1],[4794],[4539],['R'],公,186,4,"["" you/buddy/pal monarch/ruler/sovereign/(one's) master,"", ' official/governmental/formal public (use, matter, forum, etc.)/common being public knowledge/being out in the open/exposure to public view,', ' public matter/governmental matter prince/duke lord/sir familiar or derogatory suffix]']","['きみ', 'おおやけ', 'こう']","['ハ', '厶']",['公'],[2],['象形 Pictographic'],[4],[380111],[328700],['R'],滅私,[' selflessness/being unselfish]'],['めっし'],滅私,[' selflessness/being unselfish]'],['めっし']
15,日進月歩,['n'],にっしんげっぽ,日,1075,4,"["" day/days sun/sunshine/sunlight (the) day/daytime/daylight date/deadline (past) days/time (e.g. of one's childhood) case (esp. unfortunate)/event,"", ' Sunday day (of the month) counter for days Japan,', ' day of month counter for days]']","['ひ', 'にち', 'か']",['日'],['日'],[1],['象形 Pictographic'],[5],[2817613],[1855755],['S'],進,2405,11,[],[],"['辶', '隹']",['進'],[3],['形声 Phonetic'],[3],[252430],[241979],['S'],月,1130,4,"[' moon month,', ' Monday]']","['つき', 'げつ']",['月'],['月'],[1],['象形 Pictographic'],[5],[960443],[951166],['S'],歩,1261,8,"[' pawn,', ' step/stride counter for steps,', "" walking pace/step course (of history, one's life, etc.)/history/progress/advance/development pitch (of a screw, etc.),"", ' bu/traditional unit of area, approx.31 square metres commission/percentage exactly/precisely,', ' foot soldier (Edo period)/samurai on foot going on foot/walking]']","['ふ', 'ほ', 'あゆみ', 'み', 'ぶ', 'かち']","['ノ', '止', '小']",['歩'],[2],['会意 Com. Ideographic'],[4],[117776],[115865],['S'],日進,[],[],日進,[],[]
16,一進一退,"['n,vs']",いっしんいったい,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],進,2405,11,[],[],"['辶', '隹']",['進'],[3],['形声 Phonetic'],[3],[252430],[241979],['S'],一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],退,2390,9,[],[],"['辶', '艮']",['退'],[5],['会意 Com. Ideographic'],[3],[117331],[117266],['R'],一進,[],[],一進,[],[]
17,豪華絢爛,"['adj-na,adj-no,adj-t,adv-to']",ごうかけんらん,豪,2265,14,"[' strong/hard/manly,', ' tremendous/huge,', ' Australia]']","['ごう', 'えら', 'ごう']","['口', '亠', '冖', '豕']",['豪'],[7],['形声 Phonetic'],[1],[31718],[15193],['R'],華,2033,10,"[' flower/blossom/bloom/petal cherry blossom beauty blooming (esp. of cherry blossoms) ikebana hanafuda (the) best glorious/lovely,', ' flashiness/showiness/brilliance/splendor bloom/flowers]']","['はな', 'か']","['｜', '一', '⺾']",['華'],[7],['象形 Pictographic'],[1],[23238],[16688],['S'],絢,1833,12,[],[],"['糸', '幺', '小', '日', '勹']",,,,,,,,爛,1485,21,[' brilliant/bright]'],['らん'],"['｜', '火', '日', 'ハ', '木', '門']",,,,,,,,豪華,[' extravagant/lavish/opulent/luxurious/magnificent/splendid/fancy/gorgeous]'],['ごうか'],豪華,[' extravagant/lavish/opulent/luxurious/magnificent/splendid/fancy/gorgeous]'],['ごうか']
18,言語道断,"['adj-na,adj-no,n']",ごんごどうだん,言,2182,7,[' word/remark/statement]'],['げん'],['言'],['言'],[2],['象形 Pictographic'],[4],[408709],[408580],['P'],語,2216,14,"[' language word,', ' talk/recital narration topic]']","['ご', 'かたり', 'り']","['一', '言', '口', '五']",['語'],[2],['形声 Phonetic'],[5],[191480],[189717],['P'],道,2415,12,"[' road/path/street/lane/passage route/way distance/journey road (e.g. to victory)/course way (of living, proper conduct, etc.)/moral principles teachings (esp. Confucian or Buddhist)/dogma field (e.g. of medicine)/subject/speciality means/way/method,', ' road/path/street/route way/set of practices/rules for conducting oneself Buddhist teachings Taoism modern administrative region of Japan (Hokkaido) historical administrative region of Japan (Tokaido, Tosando, etc.) province (Tang-era administrative region of China) province (modern administrative region of Korea),', ' way/road way to .../road to ...]']","['みち', 'どう', 'ち']","['辶', '自', '并', '首']",['道'],[2],['会意 Com. Ideographic'],[4],[330135],[251485],['P'],断,1063,11,[' decision/judgment/resolution]'],['だん'],"['斤', '米', '｜', '一']",['断'],[5],['会意 Com. Ideographic'],[3],[149619],[149595],['S'],言語,[' language]'],['げんご'],言語,[' language]'],['げんご']
19,空空寂寂,"['adj-no,adj-t,adv-to']",くうくうじゃくじゃく,空,1739,8,"[' emptiness/vacuum/blank,', ' sky/the air/the heavens weather far-off place/distant place state of mind/feeling (from) memory/(by) heart falsehood/lie somehow/vaguely fake,', ' hollow/cavity/hole,', ' empty air/sky shunyata/emptiness/the lack of an immutable intrinsic nature within any phenomenon air force fruitlessness/meaninglessness void (one of the five elements) empty (e.g. set)]']","['から', 'そら', 'うろ', 'くう']","['穴', '工', '儿', '宀']",['空'],[1],['形声 Phonetic'],[4],[148417],[126665],['R'],空,1739,8,"[' emptiness/vacuum/blank,', ' sky/the air/the heavens weather far-off place/distant place state of mind/feeling (from) memory/(by) heart falsehood/lie somehow/vaguely fake,', ' hollow/cavity/hole,', ' empty air/sky shunyata/emptiness/the lack of an immutable intrinsic nature within any phenomenon air force fruitlessness/meaninglessness void (one of the five elements) empty (e.g. set)]']","['から', 'そら', 'うろ', 'くう']","['穴', '工', '儿', '宀']",['空'],[1],['形声 Phonetic'],[4],[148417],[126665],['R'],寂,605,11,"[' patina/antique look elegant simplicity well-trained voice,', ' (entering into) nirvana died silent/tranquil]']","['さび', 'じゃく']","['小', '卜', '又', '宀']",['寂'],[7],['形声 Phonetic'],[1],[6064],[5460],['S'],寂,605,11,"[' patina/antique look elegant simplicity well-trained voice,', ' (entering into) nirvana died silent/tranquil]']","['さび', 'じゃく']","['小', '卜', '又', '宀']",['寂'],[7],['形声 Phonetic'],[1],[6064],[5460],['S'],空空,[' empty/vacant/void]'],['くうくう'],空空,[' empty/vacant/void]'],['くうくう']
20,正正堂堂,"['adj-no,adj-t,adv-to']",せいせいどうどう,正,1258,5,"[' (logical) true/regular 10^40/ten thousand undecillion original positive/greater than zero thesis (in dialectics),', ' greater (of equal court ranks)/upper/senior director (highest of the four administrative positions of the ritsuryo period)/chief exactly/precisely,', ' exact/precise]']","['せい', 'しょう', 'まさ']","['一', '止']",['正'],[1],['会意 Com. Ideographic'],[4],[313748],[233599],['R'],正,1258,5,"[' (logical) true/regular 10^40/ten thousand undecillion original positive/greater than zero thesis (in dialectics),', ' greater (of equal court ranks)/upper/senior director (highest of the four administrative positions of the ritsuryo period)/chief exactly/precisely,', ' exact/precise]']","['せい', 'しょう', 'まさ']","['一', '止']",['正'],[1],['会意 Com. Ideographic'],[4],[313748],[233599],['R'],堂,473,11,[' temple/shrine/chapel hall company front room]'],['どう'],"['口', '⺌', '土', '冖']",['堂'],[4],['形声 Phonetic'],[4],[31216],[18280],['P'],堂,473,11,[' temple/shrine/chapel hall company front room]'],['どう'],"['口', '⺌', '土', '冖']",['堂'],[4],['形声 Phonetic'],[4],[31216],[18280],['P'],正正,[' accurate/exact/punctual/neat]'],['せいせい'],正正,[' accurate/exact/punctual/neat]'],['せいせい']
21,死屍累累,"['adj-no,adj-t,adv-to']",ししるいるい,死,1265,6,[' death/decease death penalty (by strangulation or decapitation) (an) out]'],['し'],"['一', '夕', '匕', '歹']",['死'],[3],['会意 Com. Ideographic'],[4],[236326],[236271],['S'],屍,647,9,"[' corpse kanji ""corpse"" radical]']",['しかばね'],"['一', '夕', '匕', '尸', '歹']",,,,,,,,累,1823,11,[' trouble/harmful effect/evil influence/implication/involvement]'],['るい'],"['糸', '幺', '小', '田']",['累'],[7],['形声 Phonetic'],[1],[3693],[3693],['R'],累,1823,11,[' trouble/harmful effect/evil influence/implication/involvement]'],['るい'],"['糸', '幺', '小', '田']",['累'],[7],['形声 Phonetic'],[1],[3693],[3693],['R'],死屍,[' corpse]'],['しし'],死屍,[' corpse]'],['しし']
22,喧喧囂囂,"['adj-no,adj-t,adv-to,n']",けんけんごうごう,喧,410,12,[],[],"['一', '口', '日', '宀']",,,,,,,,喧,410,12,[],[],"['一', '口', '日', '宀']",,,,,,,,囂,434,21,[],[],"['一', '口', '自', 'ハ']",,,,,,,,囂,434,21,[],[],"['一', '口', '自', 'ハ']",,,,,,,,喧喧,[],[],喧喧,[],[]
23,侃侃諤諤,"['adj-no,adj-t,adv-to']",かんかんがくがく,侃,104,8,[],[],"['⺅', '口', '川']",,,,,,,,侃,104,8,[],[],"['⺅', '口', '川']",,,,,,,,諤,2232,16,[],[],"['言', '口', '二', '勹']",,,,,,,,諤,2232,16,[],[],"['言', '口', '二', '勹']",,,,,,,,侃侃,[],[],侃侃,[],[]
