## 検疫法
  検疫法に基づき動物の持ち込みが制限される。 | 依据《检疫法》，携带动物入境受到限制。
  小説の映画化には原作者から翻案権の許諾が必要だ。 | 将小说改编成电影，需获得原作者的改编权许可。
  翻案権の譲渡契約が出版社と締結された。 | 与出版社签订了改编权转让合同。
  許諾なく漫画化し、翻案権の侵害が争われた。 | 未经许可改编成漫画，改编权侵权成为争点。
## 受寄者
  受寄者は預かった物を善良な管理者の注意で保管する。 | 受寄人应以善良管理人的注意保管受托物品。
  受寄者の故意や過失で預かり物が壊れた。 | 因受寄人的故意或过失，寄存物品损坏了。
  契約では受寄者の責任範囲を明確にしておく。 | 合同中应明确受寄人的责任范围。
## 国土法
  国土法に基づき土地取引の届け出が必要な場合がある。 | 依据《国土利用計画法》，土地交易有时须予申报。
  国土法は投機的な土地取引を抑える役割を持つ。 | 《国土利用計画法》起到抑制投机性土地交易的作用。
  国土法の許可制が広域農地の保全に活用された。 | 《国土利用計画法》的许可制度被用于保护广域农地。
## 遡及法
  遡及法は刑罰規定については原則として禁じられている。 | 溯及法律就刑罚规定而言原则上被禁止。
  遡及法を認めると予測可能性が損なわれる。 | 若承认溯及法律，可预测性就会受损。
  納税者に有利な遡及法の適用が認められた。 | 有利于纳税人的溯及适用获得认可。
## 商標法
  商標法に基づきブランド名が登録された。 | 依据《商标法》注册了品牌名称。
  商標法は出所の表示機能を保護する法律だ。 | 《商标法》是保护来源标示功能的法律。
  類似商標の出願が商標法の審査で拒絶された。 | 近似商标的申请在《商标法》审查中被驳回。
## 判決例
  過去の判決例を調べて主張を組み立てた。 | 查阅过去的判例来构建主张。
  類似事件の判決例が弁護側の材料となった。 | 同类案件的判例成了辩护方的论据。
  判決例の変遷から裁判所の姿勢が読み取れる。 | 从判例的变迁可以看出法院立场的演变。
## 行使罪
  偽造した免許証を使い行使罪に問われた。 | 使用伪造的驾照，被追究行使罪。
  行使罪は偽造文書を真正のものとして用いる罪だ。 | 行使罪是将伪造文书当作真品使用的犯罪。
  偽造と行使の両方が明らかになれば行使罪も立件される。 | 伪造与使用一经查明，也会以行使罪立案。
## 連続犯
  同一の意思で窃盗を繰り返すと連続犯として扱われる。 | 出于同一意思反复盗窃，会被作为连续犯处理。
  連続犯の認定をめぐって学説が対立している。 | 关于连续犯的认定，学说存在对立。
  裁判では一連の犯行が連続犯と評価された。 | 在审判中，一系列作案被评价为连续犯。
## 私法人
  会社は私法人に分類される。 | 公司归入私法人之列。
  地方公共団体は公法人であり、私法人とは異なる。 | 地方公共团体是公法人，不同于私法人。
  私法人の設立には原則として登記が必要だ。 | 设立私法人原则上需要登记。
## 特例法
  一般法に対して特例法が優先して適用される。 | 相对于一般法，特别法优先适用。
  この制度は特例法として立法化された。 | 该制度作为特别法完成了立法。
  特例法の適用範囲が限定されているため、原則に戻る場合もある。 | 由于特别法的适用范围有限，有时仍回到一般原则。
## 身分犯
  業務上過失致死は身分犯の一例だ。 | 业务过失致死是身份犯的一个例子。
  身分犯は行為者の資格によって成立が制限される。 | 身份犯的成立受行为人身份资格的限制。
  身分犯と身分なしの共犯の関係が争点となった。 | 身份犯与无身份共犯的关系成为争点。
## 加重犯
  結果が生じた場合は加重犯として処罰される。 | 发生加重结果时，按加重犯处罚。
  夜間の侵入強盗は加重犯に当たる。 | 夜间入户行窃属于加重犯。
  加重犯の成立には法定の事情が必要だ。 | 加重犯的成立需要法定的事由。
## 性交等
  刑法の不同意性交等罪における性交等は広い行為を含む法定用語だ。 | 刑法不同意志性交等罪中的性交等是涵盖较广行为的法定用语。
  改正刑法では性交等の定義が明文化された。 | 修订后的刑法将性交等的定义明文化了。
  判例は性交等の解釈について段階的に拡張してきた。 | 判例对性交等的解释是逐步扩展的。
## 三審制
  日本の司法は三審制をとっている。 | 日本司法采用三审制。
  三審制の下では事実認定と法律判断の役割が分かれている。 | 在三审制下，事实认定与法律判断的分工不同。
  三審制でも上訴を放棄すれば一段審で終わる。 | 即便实行三审制，放弃上诉也会在一审终结。
## 合議審
  控訴審は合議審で行われるのが原則だ。 | 控诉审原则上以合议庭审理。
  合議審では複数の裁判官が協議して判断する。 | 合议审理由多名法官合议作出判断。
  簡易裁判所の判決への控訴は合議審に移る。 | 对简易法院判决的控诉转入合议审理。
## 財産犯
  窃盗や詐欺は財産犯に分類される。 | 盗窃、诈骗归入财产犯之列。
  財産犯の捜査では被害額の特定が重要だ。 | 财产犯侦查中查明被害金额很重要。
  財産犯を繰り返した男が長期の刑を言い渡された。 | 屡犯财产罪的男子被判处长期徒刑。
## 財産罪
  財産罪は刑法の中心部分を占める。 | 财产罪占据刑法的中心位置。
  財産罪の類型は取得罪と毀棄罪に分けられる。 | 财产罪的类型分为取得罪与毁弃罪。
  電子データの保護も財産罪の議論に含まれる。 | 电子数据的保护也纳入财产罪的讨论。
## 毀棄罪
  他人の書類を勝手に破れば毀棄罪が成立し得る。 | 擅自毁坏他人文件可能构成毁弃罪。
  文書毀棄罪は隠匿罪と区別される。 | 文书毁弃罪与隐匿罪相区别。
  毀棄罪の成立には公用物など限定がない場合もある。 | 毁弃罪有时不限于公用物即可成立。
## 隠匿罪
  他人の文書を勝手に隠せば隠匿罪が成立し得る。 | 擅自藏匿他人文件可能构成隐匿罪。
  隠匿罪と毀棄罪は行為の形態が異なる。 | 隐匿罪与毁弃罪的行为形态不同。
  証拠隠匿との関連で隠匿罪の議論が深まった。 | 结合毁灭证据，隐匿罪的讨论进一步深入。
## 領得罪
  窃盗や強盗は領得罪に分類される。 | 盗窃、抢劫归入领得罪一类。
  領得罪は他人の物を不法に取得する罪の総称だ。 | 领得罪是不法取得他人财物的罪名的统称。
  領得罪と毀棄罪では法益の捉え方が異なる。 | 领得罪与毁弃罪对法益的理解不同。
## 牽連犯
  一連の行為が牽連犯として一罪と評価された。 | 一系列行为被评价为牵连犯，按一罪处理。
  牽連犯の概念は現在の刑法では使われていない。 | 牵连犯的概念在现行刑法中已不再使用。
  牽連犯か併合罪かで刑の重さが変わる。 | 认定为牵连犯还是并合罪，刑罚轻重随之不同。
## 執行権
  裁判所の判決の執行権は国に帰属する。 | 法院判决的执行权归属于国家。
  首長には条例の執行権がある。 | 首长享有执行条例的权限。
  執行権の濫用が問題視された。 | 执行权的滥用受到质疑。
## 提訴人
  提訴人として裁判所に書類を提出した。 | 作为提诉人向法院提交了文件。
  提訴人の主張は書面と口頭の両方で展開された。 | 提诉人的主张以书面和口头两种方式展开。
  提訴人側の証人が呼び出された。 | 提诉人一方的证人被传唤到庭。
## 参加人
  訴訟参加人として審理に加わった。 | 作为诉讼参加人加入了审理。
  補助参加人は当事者を助けて攻撃防御を行う。 | 辅助参加人协助当事人进行攻防。
  参加人の意見陳述が認められた。 | 参加人的意见陈述获得允许。
## 景表法
  景表法は過大な景品の提供を禁止している。 | 《景表法》禁止提供过度悬赏。
  優良誤認の広告は景表法違反に当たる。 | 夸大质量的广告违反《景表法》。
  消費者庁は景表法に基づき措置命令を出した。 | 消费者厅依据《景表法》发出了措施命令。
## 能力者
  法律上、能力者は有効に契約を結べる。 | 在法律上，有行为能力人可有效地订立合同。
  能力者と無能力者の線引きが問題となった。 | 有能力者与无能力者的界线成为问题。
  成年に達した者は原則として能力者とみなされる。 | 已达成年者原则上视为有行为能力人。
## 能開法
  能開法に基づき職業訓練の体制が整えられている。 | 依据《职业能力开发促进法》完善职业培训体制。
  能開法の改正で技能検定の制度が見直された。 | 《职业能力开发促进法》修订后，技能检定制度得到重新审视。
  企業は能開法に基づく訓練計画を立てている。 | 企业依《职业能力开发促进法》制定培训计划。
## 人身保護
  人身保護法に基づき人身の解放が求められた。 | 依据人身保护法请求释放被拘禁者。
  不当な拘禁から人身保護の手続きで救済された。 | 通过人身保护程序从不当拘禁中获得救济。
  人身保護の制度は英米法に由来する。 | 人身保护制度源于英美法。
## 先取特権
  賃貸人は先取特権によって敷金の債権を担保できる。 | 出租人可凭先取特权担保押金债权。
  先取特権は法定担保物権の一つだ。 | 先取特权是法定担保物权的一种。
  工事代金には先取特権が認められている。 | 工程款享有法定的先取特权。
## 不可抗力
  台風による損害は不可抗力として責任を問われない。 | 台风造成的损害视为不可抗力，不追究责任。
  契約書には不可抗力条項が入っている。 | 合同中列入了不可抗力条款。
  機械の故障も不可抗力とまでは言えない。 | 机械故障尚不能称为不可抗力。
## 民事事件
  金銭トラブルは民事事件として扱われる。 | 金钱纠纷按民事案件处理。
  民事事件と刑事事件では証明の基準が異なる。 | 民事案件与刑事案件的证明标准不同。
  揉め事が民事事件に発展する前に話し合うべきだ。 | 应在纠纷升级为民事案件之前先协商。
## 無限責任
  合名会社の社員は無限責任を負う。 | 合名公司的社员承担无限责任。
  無限責任は個人財産にも及ぶためリスクが大きい。 | 无限责任及于个人财产，风险很大。
  有限責任と無限責任の違いを説明した。 | 讲解了有限责任与无限责任的区别。
## 養子縁組
  二人は養子縁組を結んで正式な親子となった。 | 两人通过收养正式结为亲子关系。
  養子縁組の届け出を市区町村に提出した。 | 向市区町村提交了收养申报。
  大人同士の養子縁組は家を継ぐ慣行として残っていた。 | 成人之间的收养作为继承家业的惯例留存下来。
## 各種学校
  専門学校の多くは各種学校として認可されていた。 | 多数专门学校当时以各类学校名义获准设立。
  各種学校の一覧は都道府県のサイトで公表されている。 | 各类学校名录公布在都道府县网站上。
  学校教育法上の学校とは別に各種学校の制度がある。 | 除学校教育法上的学校外，还有各类学校制度。
## 証拠隠滅
  警察は証拠隠滅の恐れがあるとして拘束した。 | 警方以有毁灭证据之虞为由将其拘禁。
  証拠隠滅を図ったことが刑事責任を重くした。 | 试图毁灭证据加重了其刑事责任。
  メールの削除は証拠隠滅とみなされた。 | 删除邮件被认定为毁灭证据。
## 無実の罪
  無実の罪を着せられ、長い裁判を戦った。 | 被蒙上不白之冤，打了一场漫长的官司。
  無実の罪で刑務所に入った男は再審を求めた。 | 蒙冤入狱的男子请求再审。
  調査の結果、無実の罪は晴れた。 | 经调查，冤屈得以昭雪。
## 無能力者
  無能力者は法定代理人を通じて法律行為を行う。 | 无行为能力人通过法定代理人实施法律行为。
  取引相手が無能力者でないか確認が必要だ。 | 交易时需确认对方是否为无行为能力人。
  無能力者との取引には特別な手続きが求められる。 | 与无行为能力人交易需要特别程序。
## 禁治産者
  旧法では禁治産者の財産は後見人が管理した。 | 旧法下，禁治产人的财产由监护人管理。
  禁治産者と準禁治産者の区別がされていた。 | 旧法区分禁治产人与准禁治产人。
  禁治産者の制度は成年後見制度に置き換えられた。 | 禁治产人制度已被成年监护制度取代。
## 属人主義
  属人主義は国籍を基準に法の適用を決める考え方だ。 | 属人主义是以国籍为基准决定法律适用的思路。
  身分関係には属人主義の考えが色濃い。 | 身份关系深受属人主义影响。
  属人主義と属地主義は対照的な原則である。 | 属人主义与属地主义是相互对照的原则。
## 属地主義
  日本の刑法は属地主義を基本としている。 | 日本刑法以属地主义为基本原则。
  国内で起きた事件には属地主義に基づき裁判権が及ぶ。 | 对国内发生的案件，依属地主义行使管辖权。
  税務上は属地主義と属人主義を組み合わせている。 | 税务上将属地主义与属人主义相结合。
## 著作権法
  著作権法は複製権や公衆送信権を定めている。 | 《著作权法》规定了复制权与向公众传播权。
  無断転載は著作権法に触れる恐れがある。 | 未经许可转载可能触犯《著作权法》。
  著作権法の改正で罰則が強化された。 | 《著作权法》修订后，罚则得到加强。
## 皇室典範
  皇室典範は皇位継承の順序を定めている。 | 《皇室典范》规定皇位继承的顺序。
  皇室典範の改正は憲政上の重大事項だ。 | 修订《皇室典范》是宪政上的重大事项。
  皇室典範に基づき摂政が置かれる場合がある。 | 依据《皇室典范》有时设置摄政。
## 物的証拠
  現場から物的証拠が数点回収された。 | 在现场收集到数件物证。
  物的証拠がないため立証は困難を極めた。 | 由于缺乏物证，举证极为困难。
  供述と物的証拠の食い違いが指摘された。 | 供述与物证之间的不一致被指出。
## 国民審査
  最高裁判事は就任後、初の総選挙で国民審査の対象となる。 | 最高法院法官就任后，在首次众议院选举中接受国民审查。
  国民審査で罷免された裁判官はいない。 | 尚未有法官在国民审查中被罢免。
  国民審査の仕組みは憲法に根ざしている。 | 国民审查制度植根于宪法。
## 国家賠償
  公務員の過失に対して国家賠償請求が提起された。 | 针对公务员的过失提起了国家赔偿请求。
  国家賠償の要件は国賠法に定められている。 | 国家赔偿的要件规定于《国家赔偿法》。
  国家賠償の訴えは加害官庁の所属を特定して提起する。 | 提起国家赔偿诉讼需明确加害官厅的所属。
## 失踪宣告
  七年間生死不明なら失踪宣告を受けられる。 | 下落不明满七年可申请失踪宣告。
  失踪宣告により財産管理の体制が整えられた。 | 通过失踪宣告建立了财产管理机制。
  戦争で消息を絶った人の失踪宣告が家庭裁判所に出された。 | 家庭法院对战争中失联的人作出了失踪宣告。
## 逸失利益
  事故で働けなくなった期間の逸失利益の賠償を請求した。 | 请求赔偿因事故无法工作期间的逸失利益。
  逸失利益の算定には就労状況が反映される。 | 逸失利益的计算会反映就业状况。
  裁判では逸失利益の有無が争点となった。 | 在审判中，逸失利益的有无成为争点。
## 死体遺棄
  死体遺棄の容疑で男が逮捕された。 | 一名男子因涉嫌遗弃尸体被逮捕。
  死体遺棄と死体損壊は別個の罪だ。 | 遗弃尸体与损坏尸体是不同的罪名。
  山の中で見つかった事例は死体遺棄事件として捜査された。 | 在山中发现的事件作为遗弃尸体案进行侦查。
## 尋問調書
  検察官の尋問調書が証拠として提出された。 | 检察官的讯问笔录作为证据提交。
  尋問調書の作成過程の適法性が争われた。 | 讯问笔录制作过程的合法性受到争议。
  本人は尋問調書の内容を否定した。 | 本人否认了讯问笔录的内容。
## 心神喪失
  心神喪失のため責任能力が問えないと判断された。 | 因心神丧失，被认定无法追究责任能力。
  心神喪失者への医療的処遇が議論された。 | 讨论了对心神丧失者的医疗处遇。
  事故当時、被告人は心神喪失の状態だったと主張された。 | 辩护主张事故当时被告人处于心神丧失状态。
## 強制執行
  判決に基づき強制執行が行われた。 | 依据判决实施了强制执行。
  支払いに応じない場合、強制執行の手続きに移る。 | 若不履行付款，将转入强制执行程序。
  強制執行の対象から生活必需品は除かれる。 | 生活必需品不属于强制执行的对象。
## 法律行為
  成年に達していない者の法律行為には原則として同意が必要だ。 | 未达成年者实施法律行为原则上需要同意。
  意思表示は法律行為の中核をなす。 | 意思表示构成法律行为的核心。
  虚偽表示に基づく法律行為は無効とされた。 | 基于虚假表示的法律行为被认定无效。
## 集団訴訟
  被害者たちは集団訴訟を起こして救済を求めた。 | 受害人提起集体诉讼寻求救济。
  集団訴訟の手続きが整備されつつある。 | 集体诉讼的程序正在完善之中。
  集団訴訟には多数の原告が名を連ねた。 | 众多原告署名参加了集体诉讼。
## 確定判決
  確定判決に基づき差し押さえが行われた。 | 依据确定判决实施了查封。
  確定判決が出るまでには三年を要した。 | 从起诉到判决确定花了三年。
  確定判決の内容は当事者を拘束する。 | 确定判决的内容拘束当事人。
## 業務妨害
  架空の苦情で業務妨害をした男が逮捕された。 | 以虚构投诉妨碍业务的男子被逮捕。
  ネット上の炎上工作は業務妨害になり得る。 | 在网络上蓄意煽动可能构成妨碍业务。
  店舗への嫌がらせが業務妨害罪に当たると判断された。 | 对店铺的骚扰被认定构成妨碍业务罪。
## 施行規則
  法律の細目は施行規則に定められている。 | 法律的细节规定于施行规则。
  施行規則の改正に合わせて様式が変わった。 | 配合施行规则修订，表格样式随之改变。
  施行規則の制定は本則の公布とセットで行われた。 | 施行规则的制定与正文公布同步进行。
## 出頭命令
  参考人に対して出頭命令が出された。 | 对参考人发出了出庭令。
  出頭命令に応じない場合は罰則の対象となる。 | 不服从出庭令将受到处罚。
  委員会は出頭命令の発出を決めた。 | 委员会决定发出出庭令。
## 被相続人
  被相続人の遺産が兄弟の間で分割された。 | 被继承人的遗产在兄弟之间进行了分割。
  被相続人の債務も相続の対象となる。 | 被继承人的债务也属于继承对象。
  被相続人が残した遺言の有効性が争われた。 | 被继承人留下的遗嘱是否有效成为争点。
## 身体傷害
  事故により身体傷害を負った。 | 因事故造成身体伤害。
  身体傷害の程度が賠償額に反映される。 | 身体伤害的程度反映到赔偿金额上。
  ドクターの診断書は身体傷害の証明に使われた。 | 医生的诊断书被用作身体伤害的证明。
## 地方税法
  地方税法に基づき住民税が課される。 | 依据《地方税法》征收居民税。
  地方税法の改正で軽減措置が導入された。 | 《地方税法》修订后引入了减免措施。
  地方税法は市町村税の根拠法だ。 | 《地方税法》是市町村税的依据法。
## 直接尋問
  弁護側の直接尋問が始まった。 | 辩护方的直接询问开始了。
  直接尋問では誘導的な質問が制限される。 | 直接询问中限制诱导性提问。
  直接尋問を経て反対尋問に移った。 | 直接询问结束后转入反询问。
## 身柄送検
  現行犯逮捕後、直ちに身柄送検された。 | 现行犯被捕后立即移送检方。
  身柄送検までの間、弁護士との面会が認められた。 | 在移送检方之前，允许与律师会见。
  書類送検ではなく身柄送検の形が取られた。 | 采取的不是书面送检，而是移送本人的形式。
## 器物損壊
  店のショーウィンドーを割り、器物損壊で捕まった。 | 砸坏店铺橱窗，因损坏器物被抓获。
  器物損壊は親告罪とされていた。 | 损坏器物罪曾被列为亲告罪。
  器物損壊か傷害かで罪名が検討された。 | 罪名究竟定为损坏器物还是伤害罪经过讨论。
## 即時抗告
  決定に対して即時抗告を申し立てた。 | 对该裁定提出了即时抗告。
  即時抗告の期間は決定送達から一週間だ。 | 即时抗告的期限为裁定送达后一周。
  即時抗告が認められ、原決定が取り消された。 | 即时抗告获得支持，原裁定被撤销。
## 所得税法
  所得税法に基づき年末調整が行われる。 | 依据《所得税法》进行年末调整。
  所得税法の改正で控除の枠組みが変わった。 | 《所得税法》修订后，扣除的框架发生变化。
  所得税法の申告期限は三月十五日だ。 | 《所得税法》的申报期限是三月十五日。
## 実況見分
  警察は事故現場で実況見分を行った。 | 警方在事故现场进行了勘验。
  実況見分調書が捜査の基礎資料となった。 | 勘验笔录成为侦查的基础资料。
  火災の実況見分には消防庁の職員が当たった。 | 火灾现场勘验由消防部门职员负责。
## 訴訟係属
  同一請求の訴訟係属が問題となった。 | 同一请求的诉讼系属成为问题。
  訴訟係属中は別の裁判所で同じ訴えを起こせない。 | 诉讼系属期间不能在其他法院就同一请求另行起诉。
  訴訟係属が第二審にも及んでいる。 | 诉讼系属已延及第二审。
## 印紙税法
  契約書には印紙税法に基づく収入印紙を貼る。 | 合同书须按《印花税法》贴印花。
  印紙税法の税率は文書の種類によって異なる。 | 《印花税法》的税率因文书种类而异。
  印紙税法の改正で電子契約の取扱いが明確になった。 | 《印花税法》修订后，电子合同的处理得以明确。
## 自衛隊法
  自衛隊法に基づく防衛出動が命じられた。 | 下令实施依据《自卫队法》的防卫出动。
  自衛隊法は部隊の任務を分類している。 | 《自卫队法》对部队任务作了分类。
  災害派遣は自衛隊法の枠組みで行われる。 | 灾害派遣在《自卫队法》的框架内实施。
## 構成要件
  構成要件に該当すれば違法性と責任が検討される。 | 符合构成要件后，再考察违法性与责任。
  故意犯の構成要件には意図が含まれる。 | 故意犯的构成要件包含犯意。
  構成要件の該当性が認められなかった。 | 未认定符合构成要件。
## 法定強姦
  法定強姦は相手の年齢を理由に成立する罪の総称だ。 | 法定强奸是因对方年龄而成立之罪名的统称。
  法定強姦の考え方は各国の立法にも影響を与えた。 | 法定强奸的理念也影响了各国立法。
  刑法改正により法定強姦に相当する罪の構造が変わった。 | 经刑法修订，相当于法定强奸之罪的结构发生了变化。
## 共同遺言
  共同遺言は日本の民法では原則として認められていない。 | 共同遗嘱在日本民法中原则上不被认可。
  夫婦は共同遺言の代わりに別々の遺言書を作った。 | 夫妇没有采用共同遗嘱，而是分别立了遗嘱。
  共同遺言を認めるかどうかが法改正の議論に上がった。 | 是否认可共同遗嘱被提上了修法议程。
## 傷害致死
  暴力の結果相手が死亡し、傷害致死に問われた。 | 因暴力致对方死亡，被以伤害致死罪追究。
  傷害致死と殺人の区別は殺意の有無にある。 | 伤害致死与杀人的区别在于有无杀人故意。
  裁判所は傷害致死の故意を認めなかった。 | 法院未认定伤害致死的故意。
## 導管実体
  ペーパーカンパニーは課税上、導管実体として扱われる。 | 空壳公司在税务上作为导管实体处理。
  導管実体の所得は実質の受益者に帰属させる。 | 导管实体的所得归属实质受益人。
  国際課税では導管実体を通じた利益の繰り延べが問題となる。 | 在国际征税中，通过导管实体递延利润成为问题。
## 硬性憲法
  日本国憲法は改正手続きが厳格な硬性憲法だ。 | 日本国宪法是修订程序严格的刚性宪法。
  硬性憲法は通常の立法では変えられない。 | 刚性宪法无法通过普通立法变更。
  硬性憲法の特性が憲法の安定性を支えている。 | 刚性宪法的特性支撑着宪法的稳定性。
## 軟性憲法
  通常の立法手続きで改められる憲法は軟性憲法と呼ばれる。 | 可通过普通立法程序修改的宪法称为柔性宪法。
  軟性憲法は時代の変化に追随しやすい。 | 柔性宪法容易跟上时代变化。
  軟性憲法では議会の多数決が憲法を左右し得る。 | 在柔性宪法下，议会多数可能左右宪法。
## 注意義務
  事業者は安全管理の注意義務を負っている。 | 经营者负有安全管理的注意义务。
  注意義務を怠れば過失責任を問われる。 | 怠于履行注意义务将被追究过失责任。
  医師には高度な注意義務が課される。 | 医师负有高度的注意义务。
## 共同相続
  兄弟三人が共同相続人となった。 | 兄弟三人成为共同继承人。
  共同相続では遺産分割協議が必要だ。 | 共同继承需要遗产分割协商。
  共同相続の持分割合が争点となった。 | 共同继承的份额比例成为争点。
## 恒久施設
  海外子会社に恒久施設があると課税上の拠点とみなされる。 | 海外子公司设有常设机构时，视为税务上的据点。
  恒久施設の定義をめぐって条約解釈が争われた。 | 围绕常设机构的定义，条约解释引发争议。
  工事現場でも一定期間を超えれば恒久施設に当たり得る。 | 工地超过一定期限也可能构成常设机构。
## 消滅時効
  債権の消滅時効が完成した。 | 债权的消灭时效已完成。
  消滅時効の援用によって請求が拒絶された。 | 因援用消灭时效，请求遭到拒绝。
  消滅時効の完成前には催告が有効だ。 | 在消灭时效完成前，催告有效。
## 公訴時効
  公訴時効が完成したため起訴できなかった。 | 因公诉时效完成而无法起诉。
  重大犯罪では公訴時効が撤廃された。 | 对重大犯罪已废除公诉时效。
  公訴時効の起算点が争われた。 | 公诉时效的起算点成为争点。
## 時効期間
  時効期間は請求の方法によって延びることがある。 | 时效期间有时会因请求方式而延长。
  時効期間の起算日は最初の義務違反の日だ。 | 时效期间的起算日是首次违约之日。
  時効期間が過ぎても援用しなければ請求は可能だ。 | 即使时效期间届满，不援用时效仍可请求。
## 非訟事件
  担保の許可は非訟事件として処理される。 | 担保许可作为非讼案件处理。
  非訟事件は対立的な争いを前提としない手続きだ。 | 非讼案件是不以对立争执为前提的程序。
  非訟事件の管轄は家庭裁判所に属する場合がある。 | 非讼案件的管辖有时属于家庭法院。
